Group,Park_ID,Scene_ID_Local,Functional_Area,Unique_Scene_ID,Time,Green_Fore,Water_Fore,Disturb_Fore,Complex_Fore,Image_Fore,Enclose_Fore,Green_Mid,Water_Mid,Disturb_Mid,Complex_Mid,Image_Mid,Enclose_Mid,Open_Back,Image_Back,Complex_Back,Disturb_Back,Vis_Bright,Vis_Contrast,Vis_Sat,Vis_Colors,Vis_Entropy,Sound_Human,Sound_Nature,Sound_Traffic,Sound_Quiet,Aud_LAeq,Aud_Sharp,Aud_Rough,Aud_Fluc,Score
A,1.0,1.0,1.0,P1_S01,1.0,23.943375446666668,0.0,0.5289432226666667,4.754915006333333,6.172389403333334,29.791083946666664,30.96914384,0.04399755633333333,0.134247203,10.397076333333333,4.4431664736666665,34.70604665,0.004762249333333334,0.264069734,9.571905286666667,0.079451196,95.05304798666667,42.140974996666664,99.33990812666667,320730.6666666667,16.421393469999998,0.07971759633333333,0.39211876966666664,0.010028939666666667,0.4735879463333333,51.34456744,2.3146561413333333,0.131536931,0.5337187286666667,5.155000000666667
A,1.0,1.0,1.0,P1_S01,4.0,25.340326003333335,0.02,2.4754091116666666,5.34970984,2.5596145189999997,26.612726656666666,25.64682999,0.4056110146666667,0.24938110866666666,9.007579511333333,2.001032825,27.005915636666668,0.170974794,0.652074492,8.163386937333334,0.11646412033333335,96.57360168000001,45.64340316333334,97.29175435666667,296225.6666666667,16.314414416666665,0.024521980333333335,0.4463661026666667,0.020275804666666664,0.427928072,50.57119809666667,2.313910067,0.048697751000000004,0.4940153313333333,5.204444444666667
A,1.0,1.0,1.0,P1_S01,7.0,30.72268438333333,0.0,2.566587094666667,6.163467518666667,4.383913644666666,34.39416956,20.503130626666664,0.014632362333333334,0.7359423226666667,7.013260164333334,1.4678377376666667,21.80517779,0.46448206033333334,0.9878914286666666,7.6483489140000005,0.22546537433333333,93.51723360666666,46.67786253666666,94.33164902666665,281035.6666666667,16.279962853333334,0.5821436353333334,0.11920196366666667,0.014089610333333334,0.279673744,50.94407487666666,2.3124678473333335,0.050580983333333336,0.456345507,5.431111111666667
A,1.0,1.0,1.0,P1_S01,10.0,33.28780462333334,0.09000000000000001,3.3377901556666667,4.9376670030000005,4.859366962666667,37.900282116666666,22.669528036666666,0.26423852233333334,2.721916795333333,6.147248170666667,2.0202948173333333,24.580471963333334,0.40777311633333335,0.528935185,9.498328132333333,0.05842898,90.83683287000001,46.09041521666666,100.22986558999999,308417.3333333333,16.251800153333335,0.490977644,0.26118523033333335,0.01140726,0.2317305133333333,54.71277152333334,2.3124877723333337,0.13175522399999998,0.521906828,5.5255555560000005
A,1.0,1.0,1.0,P1_S01,13.0,29.17506189,0.15666666666666665,9.645278742,2.626842911666667,3.7399329666666667,31.86532680666667,23.984242383333335,0.37321566366666664,2.227510931,6.271845469,4.640596868666667,25.736275880000004,1.071654771,0.45733265799999995,8.937046241,0.0031909080000000005,102.65701933666666,48.52877444666667,82.42714289333334,279614.6666666667,15.99411351,0.11384282966666666,0.19551672766666664,0.011517356,0.657959273,51.70049912333334,2.3155360903333335,0.2928654336666667,0.4808763493333333,5.551111111333333
A,1.0,1.0,1.0,P1_S01,16.0,21.65369003666667,0.0,4.482148598333334,3.8297685353333333,6.302975501333333,27.219284496666663,35.69270029333333,0.0,1.2161016266666667,6.963035579333333,3.738011992,34.867581339999994,0.7370635609999999,0.06908677333333334,7.7755319389999995,0.073656138,101.72032671333334,51.49347977333333,86.99269161666666,280269.6666666667,15.931153826666668,0.14769428066666665,0.42986225766666664,0.010543361333333334,0.4047901093333333,51.75259980333333,2.3149893573333333,0.343511849,0.41083817133333334,5.5255555560000005
A,1.0,1.0,1.0,P1_S01,19.0,20.191884483333336,0.0,0.030261381333333334,6.057365606,4.224460680333333,18.969991803333333,37.99389146,0.0055137603333333335,0.5828149109999999,5.099410890333334,0.536715535,34.73091081333333,4.9650366513333335,0.07340293866666667,7.066174030666667,0.2785493826666667,104.30405786666667,53.59325811333333,85.45680270333332,263931.6666666667,15.91679532,0.251567245,0.2760830696666667,0.009571832666666667,0.45367594466666666,51.88917419333333,2.313823821,0.10371679299999999,0.43288276033333334,5.557777777999999
A,1.0,1.0,1.0,P1_S01,22.0,30.561491283333336,0.023333333333333334,1.6710431133333332,4.159897428666667,0.57576196,22.180181809999997,28.0877138,0.06204587833333333,0.6617115163333334,5.236551199,0.03576308533333333,23.77321245,7.412595647,0.060289669,5.895515685333334,0.34063544900000003,85.02850431666667,57.2139604,97.56560608,210002.0,14.956745856666666,0.03638369466666667,0.52854651,0.05286820266666666,0.35660922533333334,51.12065804333333,2.314099041,0.11979410366666667,0.42960081133333333,5.650000000333333
A,1.0,1.0,1.0,P1_S01,25.0,27.944380146666663,0.03666666666666667,2.9320063336666666,5.003556214333333,0.7850236303333333,18.98451565666667,25.92470824,0.032230581333333334,1.262148759,5.1666126383333335,0.20520270699999998,22.569882489999998,8.292329764666666,0.40926810033333333,6.831450592666666,0.27805105466666663,78.42651713,57.16856187333334,102.7017358,205902.0,14.777393563333334,0.08228072033333333,0.4659017306666667,0.020290779999999998,0.38760147133333334,55.43868002666667,2.313333287666667,0.22926315533333333,0.5195928843333333,5.665000000333333
A,1.0,1.0,1.0,P1_S01,28.0,26.179980869999998,0.06333333333333334,2.5592970356666664,5.396728666666667,0.49488409833333336,19.32903324333333,29.912876960000002,0.07841837066666667,1.2265986690000001,6.095697055,0.119924286,26.677686146666662,6.6886051633333325,0.596776138,8.184662094666667,0.30670894433333334,80.60169888333333,51.18854575666666,107.51840750000001,218119.33333333334,15.284096166666666,0.15983196033333333,0.4903680080000001,0.007353038333333332,0.3100676253333334,52.02065337,2.312876965,0.07848103733333334,0.3937827073333333,5.696666667
